title;description;type;calories;fat;carbs;protein;allowed
Apple;A crisp, juicy fruit with a naturally sweet and refreshing flavor, perfect for a snack or light dessert. Apples are rich in fiber and vitamin C, supporting digestion and boosting immunity.;breakfast,snack;95;0.3;25;0.5;vegan,vegetarian,celiac,lactose-intolerant
Banana;A soft, creamy fruit ideal for on-the-go snacking or smoothies. Bananas are a great source of potassium and energy-boosting carbohydrates, providing sustained energy throughout the day.;breakfast,snack;300;0.4;27;1.2;vegan,vegetarian,celiac,lactose-intolerant
Orange;A juicy and tangy fruit, perfect as a refreshing snack or breakfast addition. Oranges are high in vitamin C, which supports immune function and skin health.;breakfast,snack;62;0.2;15;1.2;vegan,vegetarian,celiac,lactose-intolerant
Watermelon;A hydrating and sweet fruit that’s perfect for hot summer days. Watermelon is low in calories but rich in vitamins A and C, making it both refreshing and nutritious.;breakfast,snack;30;0.2;8;0.6;vegan,vegetarian,celiac,lactose-intolerant
Strawberry;Bright red, juicy berries that are a delicious snack or dessert topping. Strawberries are packed with antioxidants and vitamin C, which promote skin health and combat inflammation.;breakfast,snack;29;0.4;7;0.8;vegan,vegetarian,celiac,lactose-intolerant
Mango;A juicy tropical fruit known for its vibrant orange color and sweet flavor. Mangoes are rich in vitamins A and C, promoting good eye health and immune support.;breakfast,snack;60;0.4;15;0.8;vegan,vegetarian,celiac,lactose-intolerant
Pineapple;A tropical fruit with a perfect balance of sweet and tangy flavors, ideal for salads or desserts. Pineapples are high in bromelain, an enzyme that aids digestion and reduces inflammation.;breakfast,snack;50;0.1;13;0.5;vegan,vegetarian,celiac,lactose-intolerant
Grapes;Small, juicy fruits with a burst of sweetness in every bite, great for snacking. Grapes are a good source of vitamins C and K, as well as antioxidants that support heart health.;breakfast,snack;69;0.2;18;0.7;vegan,vegetarian,celiac,lactose-intolerant
Pasta with tomato sauce;A classic Italian dish featuring tender pasta in a savory tomato sauce. Pasta provides a good amount of carbohydrates, which are an excellent source of quick energy.;lunch,dinner;157;1.3;31;5.3;vegetarian,lactose-intolerant
Rice with vegetables;A hearty dish combining fluffy rice and a mix of colorful vegetables. The vegetables add fiber and essential vitamins, while rice is a great energy source from carbohydrates.;lunch,dinner;207;0.6;44;4.3;vegan,vegetarian,celiac,lactose-intolerant
Spaghetti with meatballs;A classic Italian dish of spaghetti served with juicy, flavorful meatballs. The combination of pasta and meat provides a balanced source of carbs, protein, and fats.;lunch,dinner;221;7.9;24;13.3;lactose-intolerant
Goulash;A rich Hungarian stew made with tender beef, vegetables, and paprika. Goulash is a good source of protein and iron from the beef, supporting muscle function and overall health.;lunch,dinner;155;6.6;10;14.1;lactose-intolerant,celiac
Lasagne;Layers of pasta, meat, and cheese baked to perfection in a rich tomato sauce. Lasagne offers a hearty balance of protein, carbs, and fats, making it a filling and satisfying meal.;lunch,dinner;185;7.3;19;10.1; 
Pizza;A popular Italian dish made with a crispy crust, tomato sauce, and melted cheese. Pizza provides energy from carbohydrates and protein from the cheese, but can be high in fat.;lunch,dinner;266;10.2;33;12.1;vegetarian,lactose-intolerant
Hawaiian salad;A tropical salad featuring fresh fruits, vegetables, and often ham or chicken. This salad is light yet nutritious, providing a balance of carbs and fiber from fruits and veggies.;lunch,dinner;110;2.6;20;2.3;vegetarian,celiac,lactose-intolerant
Hamburger;A classic American dish with a juicy beef patty between two buns. Hamburgers are a good source of protein, but can be high in fats and calories depending on the toppings.;lunch,dinner;250;9.4;27;12.3;lactose-intolerant
Caesar salad;A flavorful salad with romaine lettuce, croutons, Parmesan cheese, and Caesar dressing. This dish is rich in protein from the Parmesan and chicken, if added.;lunch,dinner;180;7.3;12;15.1;lactose-intolerant
Greek salad;A refreshing salad with cucumber, tomatoes, olives, and feta cheese. Greek salad is rich in antioxidants and healthy fats from the olives and feta, promoting heart health.;lunch,dinner;160;6.3;14;13.1;vegetarian,lactose-intolerant,celiac
Tiramisu;A decadent Italian dessert made with coffee-soaked ladyfingers, mascarpone cheese, and cocoa. Though rich in flavor, Tiramisu is high in fats and sugars, offering an indulgent treat.;dessert;450;31;38;6; 
Pancakes;Fluffy and golden, pancakes are a breakfast favorite often served with syrup or fruit. Pancakes provide quick energy from carbs but are typically higher in fat and sugar.;dessert;200;8;27;6;vegetarian
Apple pie;A classic American dessert with a sweet, spiced apple filling encased in flaky pastry. Apple pie offers a comforting balance of carbs and sugars, but can be high in calories and fats.;dessert;300;12;42;4;vegetarian,lactose-intolerant
Cheesecake;A rich and creamy dessert with a smooth texture, typically made with cream cheese and a graham cracker crust. Cheesecake is high in fats and sugars but delivers a satisfying sweet flavor.;dessert;321;15;41;5;lactose-intolerant
Chocolate cake;A rich, moist dessert made with layers of chocolate cake and frosting. Chocolate cake is indulgent but high in sugar and fats, providing a decadent treat.;dessert;400;20;50;6;vegetarian
Ice cream;A creamy and cold dessert available in various flavors. Ice cream is rich in calcium, but often contains a lot of sugar and fats, making it a treat to enjoy in moderation.;dessert;207;11;25;3;lactose-intolerant
Meat with potatoes;A hearty dish featuring tender cuts of meat served with potatoes. This meal is a good source of protein and carbohydrates, but can also be higher in fat depending on the meat.;lunch,dinner;250;12;20;15;lactose-intolerant,celiac
Chicken with rice;A simple yet delicious combination of juicy chicken served over a bed of fluffy rice. This dish is rich in protein and provides energy-boosting carbohydrates.;lunch,dinner;300;15;25;20;lactose-intolerant,celiac
Fish with vegetables;A healthy dish featuring tender fish served with a variety of vegetables. Fish is an excellent source of lean protein and omega-3 fatty acids, while vegetables offer fiber and vitamins.;lunch,dinner;200;10;15;20;lactose-intolerant,celiac
Salmon with potatoes;A balanced meal with rich, flavorful salmon served alongside potatoes. Salmon is high in omega-3 fatty acids, which support heart health, while potatoes provide carbs.;lunch,dinner;250;12;20;15;lactose-intolerant,celiac
Trout with vegetables;A light and nutritious dish pairing trout with fresh vegetables. Trout is a great source of lean protein and omega-3s, while vegetables add fiber and nutrients.;lunch,dinner;200;10;15;20;lactose-intolerant,celiac
Baked cod;A light, flaky white fish that is baked to perfection, served with vegetables or potatoes. Cod is low in fat and calories while being rich in protein, making it a healthy option.;lunch,dinner;250;12;20;15;lactose-intolerant,celiac
Sushi;A Japanese dish featuring vinegared rice paired with seafood or vegetables. Sushi is low in fat and provides lean protein and essential nutrients like omega-3 fatty acids from fish.;lunch,dinner;200;5;30;8;lactose-intolerant,celiac
Grilled chicken salad;A nutritious salad topped with lean, grilled chicken, and fresh vegetables. This dish is low in fat and high in protein, making it an excellent choice for a healthy meal.;lunch,dinner;180;4;10;25;lactose-intolerant,celiac
Burrito;A Mexican dish where a soft tortilla wraps flavorful fillings like rice, beans, meat, and vegetables. Burritos provide a balanced source of protein, carbs, and fats, depending on the fillings.;lunch,dinner;290;10;40;12;lactose-intolerant
Fried rice;A popular Asian dish made with stir-fried rice and vegetables, often mixed with eggs or meat. Fried rice provides ample carbohydrates but can be higher in fats due to the cooking method.;lunch,dinner;250;8;30;6;lactose-intolerant,celiac
Porridge;A warm, hearty breakfast dish made with oats cooked in milk or water. Porridge is a great source of fiber and provides long-lasting energy from complex carbohydrates.;breakfast,snack;150;2;27;5;vegetarian,lactose-intolerant
Egg and avocado toast;A satisfying meal featuring creamy avocado spread over toast, topped with a poached egg. This dish provides healthy fats from the avocado and protein from the eggs.;breakfast,snack;220;12;18;10;vegetarian,celiac,lactose-intolerant
Vegetable stir-fry;A quick and nutritious dish made by stir-frying fresh vegetables with a light sauce. This dish is rich in vitamins, fiber, and healthy nutrients while being low in calories.;lunch,dinner;180;5;20;5;vegan,vegetarian,celiac,lactose-intolerant
Chicken tikka masala;A flavorful Indian dish featuring tender chicken in a spiced tomato sauce. This dish is high in protein and offers a balance of fats and carbohydrates.;lunch,dinner;300;15;25;20;lactose-intolerant,celiac
Falafel wrap;A Mediterranean dish where crispy falafel is wrapped in soft pita bread with fresh veggies and sauces. Falafel provides plant-based protein, fiber, and healthy fats.;lunch,dinner;250;10;30;8;vegetarian,lactose-intolerant
Miso soup;A light Japanese soup made with miso paste, tofu, and seaweed. Miso soup is low in calories and provides a healthy dose of probiotics and nutrients.;lunch,dinner;60;2;5;4;vegan,vegetarian,celiac,lactose-intolerant
Granola with yogurt;A crunchy and nutritious breakfast or snack featuring granola and creamy yogurt. This combination provides a good balance of carbohydrates, healthy fats, and protein.;breakfast,snack;200;8;30;6;vegetarian
